epoch,train_loss,validation_loss,validation_macro_f1,validation_accuracy,architecture,regime,seed
25,0.2643411012336952,0.3325103816923445,0.852000737173646,0.8407224958949097,resnet50,focal_loss,1337
26,0.2793379443077295,0.3120196100526255,0.8542229753564647,0.8423645320197044,resnet50,focal_loss,1337
1,1.1716338967606557,1.044849349751653,0.2808143615094858,0.438423645320197,resnet50,focal_loss,2025
2,0.9920148251764804,0.8215399553818852,0.4891116094096343,0.5648604269293924,resnet50,focal_loss,2025
3,0.6734824273414478,0.4810484831752056,0.7955037607367407,0.7898193760262726,resnet50,focal_loss,2025
4,0.5085752404427486,0.4686215699012643,0.7917852055291339,0.7766830870279147,resnet50,focal_loss,2025
5,0.4738429075280476,0.3837643440916816,0.8197360741897106,0.8029556650246306,resnet50,focal_loss,2025
6,0.4388181850445082,0.4861111934549115,0.7529886960627983,0.7422003284072249,resnet50,focal_loss,2025
7,0.4187039678880326,0.3987912591455018,0.8095582094898144,0.7931034482758621,resnet50,focal_loss,2025
8,0.3926215508910181,0.4249392193917962,0.7842593540853396,0.7619047619047619,resnet50,focal_loss,2025
9,0.3737516613542929,0.3052225385001923,0.8274589516540711,0.819376026272578,resnet50,focal_loss,2025
10,0.3586117287092762,0.3307631041224562,0.8413124362168891,0.8210180623973727,resnet50,focal_loss,2025
11,0.3562920515063777,0.3336475744036031,0.8365904365904366,0.8210180623973727,resnet50,focal_loss,2025
12,0.3417226666096853,0.2797151242179432,0.861358884878005,0.8456486042692939,resnet50,focal_loss,2025
13,0.3333717133856406,0.2779528845119946,0.8563254783054217,0.8390804597701149,resnet50,focal_loss,2025
14,0.3142518155813636,0.3191402936216646,0.8417268474788033,0.825944170771757,resnet50,focal_loss,2025
15,0.308422232920759,0.334071153979779,0.8367559745487572,0.8177339901477833,resnet50,focal_loss,2025
16,0.3226890550975431,0.3262047290019018,0.8342752466113122,0.8095238095238095,resnet50,focal_loss,2025
17,0.309389033478886,0.2621061930124004,0.8702267140641715,0.8522167487684729,resnet50,focal_loss,2025
18,0.2876659605069403,0.2824380823544093,0.8618844845962543,0.8456486042692939,resnet50,focal_loss,2025
